IPC主分类,发明名称,摘要
G09G3/34  ,墨水屏的无源驱动电路、其控制方法以及手机壳 [发明],本申请实施例提供一种墨水屏的无源驱动电路、其控制方法以及手机壳，无源驱动电路包括：天线电路；供电电路，与天线电路连接，用于通过天线电路获取外部设备发射的无线射频能量并转换为电能；无线通信电路，与天线电路电连接，用于通过天线电路与外部设备通信；其中，若供电电路通过天线电路获取到电能，则延时第一时间段后导通无线通信电路和天线电路，以使无线通信电路通过天线电路获取墨水屏更新显示内容的数据信号。供电电路延时第一时间段后才让无线通信电路通过天线电路与外部设备通信，在这第一时间段内，外部设备和无源驱动电路只有能量传输，没有数据传输，不影响外部设备的无线通信功能。
G09F9/33  ,LED箱体的连接方法、显示屏、装置及计算机可读存储介质 [发明],本发明公开一种LED箱体的连接方法、显示屏、装置及计算机可读存储介质，所述连接方法包括设置多个LED箱体，至少一个所述LED箱体的四周分别设置有无线接口；将所述多个LED箱体进行拼接，相邻的LED箱体之间通过无线方式进行通信；以及接收传输路径可动态改变的数据传输请求，根据所述数据传输请求对拼接后的所述多个LED箱体进行通信连接；提高LED箱体之间信号传输性能的同时也实现拆装的简化。
H05B47/155  ,灯屏设备及灯效中继、驱动控制方法和相应的装置 [发明],本申请涉及一种灯屏设备及灯效中继、驱动控制方法和相应的装置，所述中继控制方法包括：接收灯效协议数据，灯效协议数据包括灯组顺位指针和灯效控制数据，灯效控制数据包括按照顺序关系表示的多个灯组控制数据，灯组顺位指针用于指示所述顺序关系中的当前顺位；根据灯组顺位指针所指示的当前顺位，获取灯效控制数据中与该当前顺位相对应的目标灯组控制数据；根据目标灯组控制数据，控制本灯组播放相应的灯效；更新灯效协议数据中的灯组顺位指针使其指向下一顺位，输出该灯效协议数据。本申请使灯屏设备的控制器与灯组之间可以灵活通信，优化灯屏设备的产品使用体验，有助于灯屏设备的推广。
H05B47/155  ,智能灯具及其组阵方法、装置和产品 [发明],本申请涉及一种智能灯具及其组阵方法、装置和产品，所述方法包括：当前智能灯具在主设备工作状态下确定处于从设备工作状态的外部智能灯具；当前智能灯具根据外部智能灯具的信号强度信息，确定外部智能灯具到当前智能灯具的空间方位信息；当前智能灯具将每个智能灯具组合为灯具阵列，根据每个智能灯具的空间方位信息，确定该智能灯具在所述灯具阵列中的相对位置信息；当前智能灯具向每个智能灯具发送该智能灯具相对应的相对位置信息。本申请根据以上过程完成多智能灯具的组阵，可以此实现对全部智能灯具的群控，扩展了智能灯具的功能，为用户开放多智能灯具群控方式，丰富了智能灯具的玩法，能全面提升智能灯具的产品使用体验。
G09G3/34  ,mini LED背光模组的驱动方法、装置、设备及存储介质 [发明],本发明提供了一种mini LED背光模组的驱动方法、装置、设备及存储介质，该方法包括：对画面图像进行预处理，得到画面图像的灰度图；对当前的环境光数据进行特征提取，得到数据特征；根据mini LED背光模组的多个动态调光区域对灰度图进行像素划分，得到多个图像区域，并分别对各图像区域进行特征提取，得到图像特征；将图像特征和数据特征输入背光预测模型中，得到第一背光信息；对第一背光信息进行背光扩散模拟处理，得到第二背光信息；基于第二背光信息对mini LED背光模组进行驱动控制。本方法通过对各图像区域进行特征提取，并结合环境光数据，可以更加准确地预测各图像区域的背光需求，从而达到节能、提高显示效果等多种有益效果。
G09G3/3225  ,像素电路、驱动方法和显示装置 [发明],本发明提供一种像素电路、驱动方法和显示装置。像素电路包括发光元件、驱动电路、数据写入电路和写入控制电路；数据写入电路在写入控制端的电位的控制下，控制显示数据线与第二节点之间连通或断开；写入控制电路在控制数据线提供的控制数据电压的控制下，控制第一扫描线与写入控制端之间连通或断开。本发明能够控制屏幕任意不同区域，实现显示屏幕任意局部刷新显示和任意局部不刷新显示，进而达到极限节省功耗的目的，最终提升显示产品的持久续航。
G09G3/32  ,基于MCU控制器的LED显示控制方法及系统 [发明],本发明涉及数据处理的技术领域，公开了一种基于MCU控制器的LED显示控制方法及系统。所述基于MCU控制器的LED显示控制方法包括：基于多功能感测器阵列实时采集环境监测数据；通过集成在MCU控制器中的环境感应模块，对多功能感测器阵列采集的各个环境监测数据进行智能融合，得到目标融合数据，并基于所述目标融合数据，利用预设的机器学习算法构建环境状态的多维特征表示，得到环境特征向量。本发明能确保LED显示屏在各种条件下都能提供清晰、准确的信息显示。
G09G3/32  ,基于TFT+LED模组的旋转屏数据控制系统及方法 [发明],本发明涉及旋转屏控制技术领域，具体为基于TFT+LED模组的旋转屏数据控制系统及方法，包括：当TFT+LED模组的旋转屏识别到目标用户的触屏操作时，采集旋转屏的初始屏幕角度和设定时间段内目标用户的实时触屏信息，确认目标用户对旋转屏屏幕的按压面积和压力分布图；基于按压面积和压力分布图分析各时间节点上的触屏信息是否异常，若无异常，根据压力分布图的压力变化向量判断是否需要调整旋转屏对目标用户的屏幕角度；若判断需要调整旋转屏对目标用户的屏幕角度，则根据实时触屏信息的压力分布图分析屏幕角度的调整范围；根据屏幕角度的调整范围对旋转屏屏幕进行旋转调整，能够判断屏幕旋转的角度范围，满足用户需求。
G09G3/20  ,基于人工智能的显示模组控制方法、装置、芯片及介质 [发明],本申请涉及人工智能技术领域，公开了一种基于人工智能的显示模组控制方法、装置、芯片及介质。所述方法包括：获取目标显示屏的多个显示模组并测试得到响应行为数据集，进行模组排列分析，得到模组排列位置；进行模组显示协同关系分析，得到模组显示协同关系并进行动态特性分析，得到动态特性数据；进行特征提取，得到动态特征集合和外界光学影响特征分量；生成第一显示参数组合并采集状态反馈数据，进行参数补偿策略分析，得到参数补偿策略；进行参数最优化求解，生成第二显示参数组合，并采用细分矩形全局优化算法通过每个显示模组对应的第二显示参数组合对目标显示屏进行显示控制，本申请提高了显示模组控制的准确率。
G09G3/00  ,显示屏检测方法、装置及显示屏 [发明],本申请涉及一种显示屏检测方法、装置及显示屏。所述方法包括：获取显示单元当前扫描行的需求LED数量；根据所述需求LED数量以及预设点亮数量，确定是否进行LED状态检测；若是，则对显示单元当前扫描行的需求LED进行状态检测。采用本方法，能够提高LED灯异常检测的准确率。
