IPC主分类,发明名称,摘要
G01M13/028  ,一种减速机的智能故障检测方法 [发明],本发明公开了一种减速机的智能故障检测方法，本发明设计的技术方案步骤包括：S10：采集减速机易损部件的振动信号和声音信号；S20：对所述振动信号和声音信号进行过滤；S30：将过滤后的振动信号和声音信号依次输入卷积神经网络和长短期记忆网络进行训练，获取振动信号特征和声音信号特征；S40：将所述振动信号特征与声音信号特征与减速机历史的工作特征进行比较，获取故障信息；本申请通过对信号进行过滤并依次输入卷积神经网络和长短期记忆网络，减少计算量并补全信号特征，提高检测结果。
G10L19/00  ,音频处理方法、装置、计算机设备和存储介质 [发明],本申请涉及一种音频处理方法、装置、计算机设备、存储介质和计算机程序产品。本申请实施例可应用于云技术、人工智能、智慧交通、辅助驾驶等各种场景。所述方法包括：获取音频缓冲区的当前累积数据量和当前网络抖动值；基于当前网络抖动值确定各个候选缓冲等级对应的累积数据量条件，基于当前累积数据量和累积数据量条件，从各个候选缓冲等级中确定音频缓冲区对应的目标缓冲等级；基于目标缓冲等级确定目标数据包类型和目标数据包类型对应的目标压缩参数；基于目标压缩参数，压缩音频缓冲区中属于目标数据包类型的音频数据包；音频缓冲区中的音频数据包用于解码播放。采用本方法能够提高音频播放质量。
G10L15/07  ,一种音频信息内容识别方法 [发明],本发明公开了一种音频信息内容识别方法，涉及音频识别技术领域，本发明提供的方法能够精准对音频信息进行分析，在针对少量用户使用时，能够适应性建立对应用户的习惯数据库，能够识别出系统在识别个人因为习惯发音错误的内容，并针对错误内容进行正确文本的匹配再识别；之后建立一个纠偏的语音信号来调整，后续涉及到声纹识别出来后自动替换纠偏的语音信号来进行识别，使得本申请提供的音频识别更加个性化；本发明简单有效，且易于使用。
G06F16/34  ,基于多模态大语言模型的电话录音摘要提取方法、装置 [发明],本发明提出一种多模态大语言模型的电话录音摘要提取方法，本发明提出一种基于多模态大语言模型的电话录音摘要提取方法，该方法应用于用户侧和服务侧，当用户侧向服务侧发送电话录音摘要提取请求后，服务侧中经过预先训练过的多模态大语言模型进行请求解析、特征提取后生成符合要求的电话录音摘要，在准确生成电话录音摘要的过程中对录音数据准确识别、高效处理，增强了用户体验，同时提升了用户办事效率。
G10L21/0208  ,基于模型融合的语音降噪方法、装置及存储介质 [发明],本申请公开了一种基于模型融合的语音降噪方法、装置及存储介质，涉及语音处理技术领域，其中，上述方法包括：将与待降噪语音信号对应的待降噪语音特征输入到目标判别模型，得到判别降噪结果和参考噪声信息，判别降噪结果包括第一降噪语音特征，参考噪声信息为估计出的待降噪语音特征中的噪声信息；将待降噪语音特征和参考噪声信息输入到目标生成模型，得到第二降噪语音特征，第二降噪语音特征为目标生成模型基于述参考噪声信息对待降噪语音特征进行降噪处理得到的语音特征；对第一降噪语音特征和第二降噪语音特征进行融合，得到融合降噪语音特征，并将融合降噪语音特征转换为与融合降噪语音特征对应的已降噪语音信号。
G10H1/00  ,基于大模型的多媒体资源的生成方法、装置及存储介质 [发明],本申请公开了一种基于大模型的多媒体资源的生成方法、装置及存储介质，涉及语音处理技术领域，该方法包括：对目标对象的输入数据进行解析，得到至少包括文本提示信息和多媒体提示信息的提示信息；将基于文本提示信息生成的文本提示模板输入至大模型，得到大模型输出的多媒体描述信息，对多媒体提示信息进行编码，得到多媒体提示信息的编码信号，将编码信号量化为多媒体特征向量；将多媒体描述信息对应的信息特征向量和多媒体特征向量发送至特征融合模型，得到特征融合模型输出的融合向量；对融合向量进行解码，以生成融合向量对应的多媒体资源，解决了如何使用大模型生成更符合用户需求的多媒体资源的技术问题，生成更符合用户需求的多媒体资源。
H04H20/59  ,一种应急广播音量自动调节方法、装置、电子设备及介质 [发明],本申请涉及数据处理技术领域，尤其是涉及一种应急广播音量自动调节方法、装置、电子设备及介质，方法包括识别每个现场音频数据对应的声音响度，并基于每个现场音频数据的声音响度与预设标准响度，判断待监测区域内是否存在异常子区域；当异常子区域对应的风力不超过预设风力时，根据异常子区域对应的角度调整量和音量调整量确定第一调整指令，并按照第一调整指令进行调整；当异常子区域对应的风力超过预设风力时，根据目标传播响度影响率、异常子区域的声音响度以及预设标准响度，确定第二调整指令，按照第二调整指令对待调整广播设备进行调整。本申请能够在不同风力下，提高调节应急广播音量时的准确性。
G10L21/02  ,音频数据处理方法、装置、介质、设备及程序产品 [发明],本申请公开了音频数据处理方法、装置、介质、设备及程序产品，涉及计算机技术领域，方法包括：获取待处理音频数据；分别获取当前音频算法集与多个候选算法集间的听感差异信息和开销差异信息；听感差异信息用于指示待处理音频数据分别经当前音频算法集和候选算法集对应的音频处理后在听觉感知维度的质量差异，开销差异信息用于指示分别运行音频算法集和候选算法集的算法所需运算资源消耗的差异；根据听感差异信息和开销差异信息确定多个候选算法集中的目标算法集；基于目标算法集对待处理音频数据进行音频处理，得到目标音频数据。本申请能够避免设备额外音频开销，避免设备卡顿和死机。
G10L15/22  ,一种基于语义依存分析的语句多意图识别方法及装置 [发明],本申请公开了一种基于语义依存分析的语句多意图识别方法及装置，可应用于语音识别技术领域。获取文本交互语句，识别文本交互语句的领域分类结果，并基于语义依存分析获得文本交互语句中的每两个实体之间的语义依存关系。当领域分类结果为生活技能领域时，通过生活技能实体识别模型获取文本交互语句中的各个实体和每个实体的实体类型。基于实体之间的语义依存关系对文本交互语句中的技能名称类实体进行意图构建，获取包括技能名称类实体的单意图结构化表示。组合各个技能名称类实体分别对应的单意图结构化表示，获得多意图结构化表示。在确定领域分类结果为生活技能领域后，执行该领域对应的多意图解析过程即可，可提高语句多意图解析效率。
G16H50/30  ,基于声响的睡眠呼吸评价及辅助调节方法、系统和装置 [发明],本发明提供基于声响的睡眠呼吸评价及辅助调节方法、系统和装置，通过从用户睡眠过程各种声响信号中识别睡眠呼吸声响信号并得到睡眠呼吸声响动力学信号，提取睡眠呼吸声响事件信息，并通过睡眠姿势体位信息、睡眠时相分期和脑状态变化特征进一步校正事件强度，生成睡眠呼吸评价报告；对所述睡眠呼吸动力学信号进行时间序列预测分析，结合用户当前睡眠呼吸状况，生成睡眠呼吸辅助调节策略并通过信号接口发送睡眠呼吸调节设备，以实现用户睡眠呼吸的动态辅助调节；通过睡眠呼吸声音的创新评估和睡眠呼吸辅助调节的一体化架构，辅助用户睡眠和提高睡眠质量。本发明能够实现睡眠呼吸行为的科学检测评估和高效动态辅助调节。
