IPC主分类,发明名称,摘要
G11C29/56  ,一种存储芯片的检测系统及检测方法 [发明],本发明提供一种存储芯片的检测系统及检测方法，检测系统包括接口模块，用以接收主机写入的设定数据和设定指令；芯片测试座，用以安装待测芯片；中央处理模块，用以向待测芯片下发跳变数据，跳变数据是基于设定指令对设定数据的多个位发生跳变处理后的数据，待测芯片写入跳变数据记为接收数据，并记录接收数据对应的地址数据；其中，中央处理模块读取待测芯片地址数据上的接收数据，当跳变数据和接收数据相同时完成待测芯片的检测，当跳变数据和接收数据不相同时，生成待测芯片的错误数据。本发明能够快速高效的对存储芯片进行检测，可提高存储芯片的稳定性和兼容性。
G11C29/44  ,一种存储器及其坏块纠错方法 [发明],本发明提供了一种存储器及其坏块纠错方法，包括：存储块，其包括问题块与可用块；以及主控器，用以对问题块进行有效数据搬移处理，以将其内部数据搬移至可用块后，暂存于校验清单中；其中，主控器确定存储器处于空闲状态时，执行的动作为依次对校验清单中的问题块进行校验处理；主控器用以生成校验数据，并根据校验数据对问题块进行串行块校验处理；主控器确定问题块不属于被误判的存储块时，执行的动作为确认问题块为坏块，并丢弃；主控器确定问题块属于被误判的存储块时，执行的动作为确认问题块为可用块，并重新放入可用列表中。通过本发明提供的一种存储器及其坏块纠错方法，能够对问题块进行纠错，防止误判。
G11C29/12  ,信号监测方法、装置、芯片及电子设备 [发明],本公开提供了一种信号监测方法、装置、芯片及电子设备，涉及计算机技术领域，该方法由芯片执行，该方法包括：根据所述输入信号对应的第一源时钟的波形变化，将所述输入信号存入FIFO寄存器；根据第二源时钟的波形变化，从所述FIFO寄存器中取出信号，得到输出信号，所述第二源时钟的频率小于所述第一源时钟的频率，所述输出信号的频率小于所述输入信号的频率；将所述输出信号传输至外部监测模块，所述外部监测模块用于监测所述输出信号的正确性，所述外部监测模块的收敛频率小于所述输入信号的频率，且大于所述输出信号的频率。本公开对高频信号进行降频，使其可以被外部监测模块监测到，以实现对高频信号的监测。
G06F13/16  ,存储器控制系统、方法、芯片及计算机可读存储介质 [发明],本公开提供了一种存储器控制系统、方法、芯片及计算机可读存储介质，属于非易失性存储器技术领域，该系统包括CPU，主控制器，测试机，可编程永久存储器；主控制器与测试机、CPU以及可编程永久存储器连接。其中，主控制器，被配置为：在芯片的测试阶段，接收测试机发送的读写指令；或者，在芯片的使用阶段，接收CPU发送的读写指令；以及，基于读写指令，控制可编程永久存储器。能够降低芯片的冗余设计，减少芯片面积。
G06F11/22  ,一种应用于存储器芯片的抗辐照检测方法 [发明],本发明是关于应用于存储器芯片的抗辐照检测方法，包括：基于辐照测试前的原始数据块和预设算法，生成原始数据块对应的识别字段作为原始识别字段，其中，基于写入存储器的原始数据块在辐照环境下的预计损伤确定所述预设算法；基于辐照测试后的原始数据块对应的辐照数据块和预设算法，生成辐照数据块对应的识别字段作为辐照识别字段；基于所述原始识别字段和所述辐照识别字段，识别并定位原始数据块经辐照测试后发生的损伤。本发明基于数据块在辐照测试前后分别对应的数据量较小的识别字段，来识别并定位原始数据块经辐照测试后发生的损伤，从而有助于快速分析芯片的抗辐照性能。
G06F11/22  ,一种应用于存储器芯片的抗辐照检测系统 [发明],本发明是关于应用于存储器芯片的抗辐照检测系统，该系统包括：辐照测试模块，用于容纳存储器芯片并对存储器芯片进行辐照测试；无线通信模块，包括无线输出单元、无线接收单元和控制单元；无线输出单元设置于辐照测试模块中并与存储器芯片相连，用于实时获取存储器芯片的测试数据并发送；无线接收单元设置在辐照测试模块之外，用于接收测试数据；无线通信模块包括多种传输模式，控制单元根据实时传输情况切换无线通信模块的传输模式；数据分析模块，用于对所有无线接收单元接收的测试数据进行分析，以确定存储器芯片的抗辐照性能。本申请实时读取存储器芯片的测试数据并外发，并提出多种优化传输方式，使得对于存储器芯片的抗辐照检测更加高效。
G11C29/50  ,辐照检测存储器芯片的测试方法 [发明],本申请提供一种辐照检测存储器芯片的测试方法，在待测芯片上设置多个高灵敏度传感器，以获取测试过程中同一时刻参数量及参数变化量，参数量包括电流值、电压值、电阻值、电容值、电感值、温度值及磁场强度值，将收集到的模拟信号转换为数字信号，并发送到外部处理系统；外部处理系统对多个相同待测芯片写入输入数据，并获取待测芯片的读取输出数据，识别待测芯片内发生数据翻转时，外部处理系统记录此时参数量及参数变化量，获取出现频率高于预设频率值的数据翻转，以及对应此时高灵敏度传感器参数量及参数变化量，作为待测芯片是否发生数据翻转的判断标准；当其他相同待测芯片出现相同的参数量及参数变化量，将该待测芯片标记为发生过数据翻转。
G11C29/56  ,一种断电上电的装置和方法 [发明],本发明提供了一种断电上电的装置和方法，其能够精确控制断电和上电时机，提高闪存存储系统断上电测试的准确性，其特征在于：所述装置包括：处理器单元、触发信号监测单元和机械开关单元；所述处理器单元用于根据触发信号监测单元发来的监控信号，向机械开关单元发送控制信号；所述触发信号监测单元用于监测闪存存储系统的触发信号，当监测到触发信号满足触发条件时，向处理器单元发出监控信息；所述机械开关单元用于接收到控制信号之后，对闪存存储系统进行通电和断电动作。
G06F11/22  ,存储器芯片辐照检测方法 [发明],本申请提供一种存储器芯片辐照检测方法，存储模块中在辐照之前存入待检测数据，第一比对模块和第二比对模块分别预设相同第一验证数据和第二验证数据；启动后读取输出数据，并在电路板上分别由第一比对模块和第二比对模块进行比对，若输出数据与第一验证数据以及第二验证数据一致，则无错误，第一比对结果或第二比对结果发送到存储模块中存储；若不一致，第一自检模块和第二自检模块分别自检，获取第一错误率和第二错误率，若第一错误率高于第二错误率，将第二比对结果发送到数据压缩模块，对第二比对结果压缩，对于连续正确的数据，记录起始位置和连续正确的数据个数，对于错误数据，记录错误位置、错误类型及错误的值，最终在存储模块存储。
G11C29/44  ,一种基于测试设备的存储芯片的修复方法 [发明],本发明公开了一种基于测试设备的存储芯片的修复方法，属于芯片测试技术领域，具体包括：采集存储芯片中的失效单元电路信息；将区块编号作为存储键值，失效单元电路坐标作为存储值，构建X‑Y和Y‑X哈希表结构；对哈希表进行遍历，若存在超过预设阈值的失效单元电路集合，则将该集合称为特定失效单元电路，分配特定类型备用电路修复该区域；若无可用的备用电路，则标记并删除该存储芯片；若不存在超过预设阈值的失效单元电路集合，则将该集合称为稀疏失效单元电路，获取最大的集合值，分配备用电路，若无可用的备用电路，则标记并删除该存储芯片；若有可用的备用电路，则正常修复；本发明提升了对失效单元电路的修复利用率。
