IPC主分类,发明名称,摘要
G16H40/20  ,一种医疗服务分配与路径规划方法、系统、设备和介质 [发明],本发明属于医疗管理分配领域，提供了一种医疗服务分配与路径规划方法、系统、设备和介质，包括考虑需求点的期望服务时间窗，以医疗小组最大时长最小化和用户总体满意度最大化为目标，构建医疗检测服务分配及路径规划模型；基于医疗小组的状态变量构造状态转移方程，并利用动态规划算法进行求解，得到各医疗小组与各需求点的服务分配关系、各医疗小组的服务路径以及到达各需求点的时间。本发明追踪每个医疗小组的服务路径与到达时间，能够实现时间窗需求限制下的路径‑服务分配整体优化，能够使医疗资源实现充分利用，医护人员的工作量不过载且均衡，同时确保系统服务效率最大；兼顾了用户的差异性和自身需求，具有更好的人性化考虑。
G06Q10/0631  ,集体餐厅场景下的点餐、订购、加工、管理方法及系统 [发明],本发明属于餐厅管理技术领域，具体公开提供了集体餐厅场景下的点餐、订购、加工、管理方法及系统，该方法包括：提取目标餐厅当前生成的点餐数据和订购数据，据此进行加工分配管理；提取当前各累计用餐人员在各累计用餐日的用餐跟踪数据和推荐用餐数据，进行用餐推荐更新管理。本发明在餐品加工分配管理时通过结合自动配菜设备进行配菜，并分析烹饪时间表，弥补了当前食品加工智能化程度不足的欠缺，大幅度提升了食品烹饪的处理效率和处理有序性，同时通过进行用餐推荐更新管理，实现了特殊体能消耗场所的针对性管理，确保了后续推荐餐品能够满足特殊人员的营养搭配需求以及后续推荐餐品的适配性、需求性和有效性。
G06V10/764  ,一种针对病变识别的跳变控制方法和系统 [发明],本发明涉及计算机视觉技术领域，尤其涉及一种针对病变识别的跳变控制方法和系统，获取待识别内镜视频，从待识别内镜视频中提取当前帧和当前帧数‑2的内镜视频图像对，对内镜视频图像对进行预处理操作，通过hash变换来判断待识别内镜视频是否处于稳定状态；对待识别内镜视频进行病变区域识别，得到病变区域信息；当待识别内镜视频处于稳定状态时，将病变区域信息输入分类模型，得到病变区域信息的分类结果；依次查看病变区域信息的分类列表中是否存在预设数量个分类结果，选取类别数量最多的输出。本发明配合下消化道的检测和分类模型，可以消去偶尔的跳变，改善了在缩小后分类错误的结果，使整体的识别结果更加稳定。
G16H10/60  ,基于多源数据融合的智慧医疗数据智能管理方法 [发明],本发明涉及病历数据管理技术领域，具体涉及一种基于多源数据融合的智慧医疗数据智能管理方法。首先获取多种病症的病历样本数据以及待管理病历数据，并使用词袋模型提取特征向量和特征词汇频次用于初始聚类。通过分析初始聚类簇中样本数量分布和特征词汇频次差异，确定特征词汇的参考价值。基于参考价值筛选出参考词汇后，以各参考词汇出现频次为依据再次进行聚类，得到聚类结果。分析此时聚类簇中不同病症样本数量，计算参考词汇对应的判错概率。最终结合参考词汇的参考价值与对应的判错概率，得到参考词汇的影响权重，并依据影响权重确定待管理病历数据所属的病症类型，提高了分类准确性和管理效率。
G16H20/30  ,一种基于数据挖掘的护理管理系统及方法 [发明],本发明公开了一种基于数据挖掘的护理管理系统及方法，涉及护理管理技术领域，设置数据库，采集患者信息注册得到病患端，基于患者信息在数据库中匹配查找对应的护理训练信息作为目标护理训练信息，对应病患参照护理训练信息制定训练计划信息，采集病患端实施训练计划信息的训练视频，基于训练视频提取病患端的训练肢体信息。本发明可以分别监测对应的信息，能够精确的了解到护理训练动作不标准的因素，更好的给出建议，具有较好的护理训练动作辅助作用。
G06F18/22  ,基于可穿戴设备的老人健康监测数据处理方法 [发明],本发明涉及数据滤波技术领域，具体涉及基于可穿戴设备的老人健康监测数据处理方法。该方法在预设时间段上依据不同种类的体征数据在波动和分布上的差异情况进行划分，得到活动区间，并基于体征数据的分布确定活动区间的活动类型；将与当前时刻所处活动区间为同一活动类型记为匹配区间，根据当前时刻所处活动区间中每个种类的体征数据与其他种类的关联程度以及体征数据在匹配区间的匹配关联情况，得到体征数据的滤波系数，结合活动类型得到体征数据的滤波权重；基于滤波权重通过双边滤波算法获得滤波数据。本发明通过体征数据对应的活动状态和多维体征数据间的关联性，调整双边滤波权重得到更准确的滤波数据，提高后续监测的准确性。
G06V40/20  ,基于深度学习的运动姿态识别方法 [发明],本发明属于运动姿态识别技术领域，具体公开基于深度学习的运动姿态识别方法，通过在健身者运动过程中采集健身者的运动姿态图像，并将运动姿态图像聚焦到关键关节，由此提取关键关节呈现角度，实现了力量健身运动姿态的重点聚焦识别，能够更精准地检测动作准确性，为健身效果的分析提供可靠支撑，与此同时在健身者运动过程中实时监测健身者的生理指标和关键关节肌肉负荷，由此监测结果结合力量健身的运动姿态识别数据进行健身效果分析反馈，能够最大限度避免对运动姿态识别应用范围的限制，有利于全面了解健身者整体的运动表现，能够为健身者的健身有效性提供明确针对性的方向，从而实现了运动姿态识别价值最大化。
G16H50/50  ,基于舌苔代谢物的胃癌预测模型的建立和应用 [发明],本发明涉及胃癌预测技术领域，公开了基于舌苔代谢物的胃癌预测模型的建立和应用。步骤S1：采集舌苔代谢物作为样本；步骤S2：对样本进行分析，获得舌苔代谢物样本数据集；舌苔代谢物样本数据集包括M个舌苔代谢物样本数据子集，每个舌苔代谢物样本数据子集包含舌苔代谢物中各组分的丰度数据；步骤S3：数据前处理，针对舌苔代谢物样本数据集进行前处理，得到最终舌苔代谢物样本数据集；步骤S4：将最终舌苔代谢物样本数据集输入胃癌预测模型，得到最终胃癌患病概率。采集舌苔代谢物对人体无损，受试者接受度好，预测准确度高。根据预测精度要求灵活选择采集舌苔代谢物各组分的组合，提升预测模型的便捷性、易用性。
G16H50/20  ,基于远程分诊的医疗管理方法及系统 [发明],本发明涉及远程医疗系统技术领域，具体为基于远程分诊的医疗管理方法及系统，包括以下步骤：基于患者的医疗影像和生理数据，采用深度卷积神经网络进行分析，自适应调整分析模型，生成初步诊断报告。本发明中，深度学习技术在处理医疗影像和生理数据方面提升准确性和效率，加速初步诊断，时间序列预测和遗传算法在资源分配中确保精确预测和优化，提高资源使用效率，随机森林与神经网络结合，提升预警准确性，实时健康监控报告通过复杂事件处理和实时分析算法生成，确保全面、及时的健康监测，在线机器学习和大数据处理框架不断更新、优化治疗计划，提供个性化、动态的健康管理策略，显著提高医疗服务质量和效率。
G06T7/00  ,一种基于机器视觉的泌尿结石图像识别方法 [发明],本发明涉及泌尿结石影像分析处理领域，具体公开一种基于机器视觉的泌尿结石图像识别方法，本发明通过获取泌尿系统结石的特征信息，分析泌尿系统结石的类型；获取泌尿系统结石在各次检查中的位置和三维尺寸，分析泌尿系统结石的活动性系数和尺寸缩小系数，进而综合分析泌尿系统结石消除倾向指数；获取各次检查中泌尿系统的体积和泌尿系统壁厚度，分析泌尿系统恢复倾向指数；根据泌尿系统结石消除倾向指数和泌尿系统恢复倾向指数，评估患者的症状改善系数，进而为医生提供更全面的信息，帮助医生为患者制定最佳的治疗方案和提供更有效的护理。
